price,rooms,area,location
289.800 €,,54 m²,locationGallneukirchen
289.800 €,,53 m²,locationGallneukirchen
382.400 €,,75 m²,locationGallneukirchen
389.200 €,,78 m²,locationGallneukirchen
269.800 €,,54 m²,locationGallneukirchen
269.800 €,,53 m²,locationGallneukirchen
359.600 €,,75 m²,locationGallneukirchen
399.200 €,,78 m²,locationGallneukirchen
279.600 €,,54 m²,locationGallneukirchen
279.600 €,,53 m²,locationGallneukirchen
374.800 €,,75 m²,locationGallneukirchen
139.000 €,1 Zi.,28.66 m²,locationWien / Alsergrund (Alsergrund)
275.900 €,3 Zi.,69.4 m²,locationKalsdorf bei Graz
229.817 €,2 Zi.,69.94 m²,locationKalsdorf bei Graz
346.548 €,3 Zi.,78.88 m²,locationKalsdorf bei Graz
400.108 €,3 Zi.,74.92 m²,locationKalsdorf bei Graz
464.925 €,4 Zi.,110.75 m²,locationKalsdorf bei Graz
164.606 €,1 Zi.,41.72 m²,locationKalsdorf bei Graz
151.824 €,2 Zi.,42.96 m²,locationKalsdorf bei Graz
"239.827,50 €",2 Zi.,59.54 m²,locationKalsdorf bei Graz
210.000 €,2 Zi.,50 m²,locationWien (Favoriten)
495.000 €,3 Zi.,102 m²,locationWien (Favoriten)
99.900 €,1 Zi.,24 m²,locationWien (Donaustadt)
799.000 €,8 Zi.,276 m²,locationWien (Favoriten)
auf Anfrage,3 Zi.,110.63 m²,locationEgg am Faaker See (Egg am Faaker See)
499.000 €,5 Zi.,121 m²,locationVienna (Leopoldstadt)
799.000 €,4 Zi.,121 m²,locationWien (Hietzing)
199.000 €,3 Zi.,92 m²,locationWien (Meidling)
465.000 €,3 Zi.,80 m²,locationZwischenwasser
178.000 €,2 Zi.,48 m²,locationWien (Simmering)
149.000 €,2 Zi.,40 m²,locationWien (Leopoldstadt)
auf Anfrage,,,locationArzl im Pitztal
"375.000,56 €",4 Zi.,73.09 m²,locationWien (Meidling)
"375.000,32 €",4 Zi.,73.13 m²,locationWien (Meidling)
650.000 €,3 Zi.,80 m²,"locationWien 19.,Döbling (Döbling)"
730.000 €,3 Zi.,71 m²,locationSt. Johann in Tirol
187.049 €,2 Zi.,47.6 m²,locationDonnerskirchen
245.861 €,3 Zi.,68.75 m²,locationDonnerskirchen
249.000 €,2 Zi.,48 m²,locationFügen
289.000 €,2 Zi.,54.01 m²,locationWien (Hernals)
374.000 €,3 Zi.,66.4 m²,locationWien (Hernals)
598.000 €,3 Zi.,82 m²,locationWien (Margareten)
198.500 €,2.5 Zi.,84.83 m²,locationKlagenfurt (Viktringer Vorstadt)
597.007 €,3 Zi.,93.1 m²,locationMieming
249.000 €,3 Zi.,84.5 m²,locationWien (Landstraße)
229.000 €,3 Zi.,75.98 m²,locationWien (Landstraße)
290.000 €,2 Zi.,60.03 m²,locationWien (Liesing)
"276.903,36 €",2 Zi.,39.56 m²,locationWien (Favoriten)
"274.903,97 €",2 Zi.,42.32 m²,locationWien (Favoriten)
"207.902,51 €",1 Zi.,31.22 m²,locationWien (Favoriten)
"692.002,52 €",3 Zi.,81.19 m²,locationWien (Favoriten)
"404.004,46 €",2 Zi.,51.45 m²,locationWien (Favoriten)
"304.882,10 €",2 Zi.,38.26 m²,locationWien (Favoriten)
"265.904,04 €",2 Zi.,40.6 m²,locationWien (Favoriten)
"310.002,81 €",2 Zi.,42.57 m²,locationWien (Favoriten)
"590.000,80 €",3 Zi.,71.79 m²,locationWien (Favoriten)
"197.903,76 €",1 Zi.,31.48 m²,locationWien (Favoriten)
"339.002,89 €",2 Zi.,42.29 m²,locationWien (Favoriten)
